General Project,Contact Person's Last Name,Site Name,Country,Timezone,Easting,Northing,UTM zone,General Sampling Period Name,General Sampling Period Name,Photo Date,Photo Time,Class,Order,Family,Genus,Species,Number of Animals,Camera Start Date and Time,Camera End Date and Time,Camera Make,Camera Model,Flash (Yes or No),Baited_unbaited,Bait type (if applicable),Photos per trigger,Species Diet Description,Common Name
UWIN Edmonton,Stevenson,EDALD02HUS1,Canada,GMT-6,327642.96,5941822.19,12U,UWIN Season Fall 3,Season Fall 3,10/25/2020,4:31:59,Mammalia,Carnivora,Felidae,Felis,catus,1,8/5/2020,11/13/2020,RECONYX,PC900 PROFESSIONAL,Yes,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALA02KER2,Canada,GMT-6,340905.5056,5940707.276,12U,,,8/25/2021,5:27:47,Mammalia,Carnivora,Felidae,Felis,catus,1,3/29/2021,9/1/2021,RECONYX,PC800 PROFESSIONAL,Yes,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALA02KER2,Canada,GMT-6,340905.5056,5940707.276,12U,,,8/25/2021,5:27:49,Mammalia,Carnivora,Felidae,Felis,catus,1,3/29/2021,9/1/2021,RECONYX,PC800 PROFESSIONAL,Yes,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALA02KER2,Canada,GMT-6,340905.5056,5940707.276,12U,,,8/25/2021,5:27:50,Mammalia,Carnivora,Felidae,Felis,catus,1,3/29/2021,9/1/2021,RECONYX,PC800 PROFESSIONAL,Yes,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALA03BAN1,Canada,GMT-6,343661.0691,5942626.116,12U,UWIN Season Spring 4,Season Spring 4,4/24/2021,22:29:16,Mammalia,Carnivora,Felidae,Felis,catus,1,3/29/2021,9/1/2021,RECONYX,PC900 PROFESSIONAL,Yes,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALA03BAN1,Canada,GMT-6,343661.0691,5942626.116,12U,UWIN Season Spring 4,Season Spring 4,4/24/2021,22:29:17,Mammalia,Carnivora,Felidae,Felis,catus,1,3/29/2021,9/1/2021,RECONYX,PC900 PROFESSIONAL,Yes,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALA03BAN1,Canada,GMT-6,343661.0691,5942626.116,12U,UWIN Season Spring 4,Season Spring 4,4/24/2021,22:29:17,Mammalia,Carnivora,Felidae,Felis,catus,1,3/29/2021,9/1/2021,RECONYX,PC900 PROFESSIONAL,Yes,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALA04HOH1,Canada,GMT-6,345886.2623,5949536.804,12U,,,6/27/2018,3:59:22,Mammalia,Carnivora,Felidae,Felis,catus,1,5/24/2018,6/28/2018,RECONYX,PC900 PROFESSIONAL,Yes,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALA04HOH1,Canada,GMT-6,345886.2623,5949536.804,12U,,,6/27/2018,3:59:23,Mammalia,Carnivora,Felidae,Felis,catus,1,5/24/2018,6/28/2018,RECONYX,PC900 PROFESSIONAL,Yes,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALA04HOH1,Canada,GMT-6,345886.2623,5949536.804,12U,,,6/27/2018,3:59:24,Mammalia,Carnivora,Felidae,Felis,catus,1,5/24/2018,6/28/2018,RECONYX,PC900 PROFESSIONAL,Yes,No,,3,,Domestic cat
