system:index,city,mean,site,unique_id,.geo
0000000000000000000a,ahga,0.6474864108153386,DELL,11,"{""type"":""Polygon"",""coordinates"":[[[-83.42459031634617,33.99440765017669],[-83.4276219371319,33.99404945813847],[-83.43041216923378,33.99300340275441],[-83.43273886088294,33.991352773267046],[-83.43441679589243,33.98922899035274],[-83.43531244045828,33.9868011354931],[-83.4353545631325,33.98426248323755],[-83.43453988553337,33.98181511115237],[-83.43293332002942,33.97965381418598],[-83.43066278274127,33.97795060394619],[-83.42790900097344,33.9768410251984],[-83.42489112965698,33.976413376101156],[-83.4218493209998,33.97670168725514],[-83.41902563031435,33.97768301606945],[-83.41664477107764,33.97927927081599],[-83.41489624405554,33.98136341985501],[-83.41391925792439,33.983769593921025],[-83.41379164018099,33.98630628026803],[-83.41452362354649,33.98877156124334],[-83.41605700824152,33.99096918612343],[-83.41826977405495,33.99272419714921],[-83.42098578152901,33.993896864532736],[-83.4239887936823,33.99439381859736],[-83.42459031634617,33.99440765017669]]]}"
0000000000000000000b,ahga,0.7197985817265037,DPRD,12,"{""type"":""Polygon"",""coordinates"":[[[-83.38699563536457,33.98842799566401],[-83.39002704281914,33.988069803634154],[-83.39281707859219,33.9870237482726],[-83.39514360655721,33.985373118814834],[-83.39682142355989,33.98324933592801],[-83.39771700518081,33.9808214810851],[-83.39775912496411,33.978282828830395],[-83.39694450473614,33.97583545672984],[-83.39533805227978,33.97367415973669],[-83.39306767470715,33.9719709494671],[-83.39031408661165,33.97086137069575],[-83.38729642752159,33.97043372158856],[-83.38425483277246,33.9707220327493],[-83.38143134067113,33.97170336158497],[-83.37905064890272,33.9732996163608],[-83.37730224490726,33.975383765427914],[-83.37632532756052,33.97778993951204],[-83.3761977188665,33.98032662586155],[-83.37692965080404,33.982791906822946],[-83.37846292766795,33.98498953167706],[-83.3806755378194,33.9867445426729],[-83.38339135419233,33.987917210031895],[-83.3863941550296,33.98841416408502],[-83.38699563536457,33.98842799566401]]]}"
0000000000000000000c,ahga,0.7902414223717542,DUDP,13,"{""type"":""Polygon"",""coordinates"":[[[-83.36754503656944,33.96462977334176],[-83.37057559561907,33.96427158134521],[-83.37336485060446,33.96322552607316],[-83.37569072760769,33.96157489673316],[-83.3773680753046,33.959451113955616],[-83.37826340659741,33.957023259179394],[-83.3783055148837,33.95448460692796],[-83.37749112281735,33.95203723476627],[-83.37588511994431,33.94987593766664],[-83.3736153775505,33.948172727278454],[-83.37086255967787,33.947063148413406],[-83.36784574459917,33.94663549926665],[-83.36480500054923,33.94692381045427],[-83.36198229820465,33.94790513937492],[-83.35960227244736,33.949501394267294],[-83.35785435772131,33.95158554344616],[-83.35687771392591,33.95399171760238],[-83.35675014122074,33.95652840396182],[-83.35748186863249,33.95899368486786],[-83.35901471665859,33.96119130961864],[-83.36122670775197,33.9629463204954],[-83.36394176412743,33.96411898775672],[-83.36694372457394,33.96461594176409],[-83.36754503656944,33.96462977334176]]]}"
0000000000000000000d,ahga,0.6472748378368275,DXBH2,14,"{""type"":""Polygon"",""coordinates"":[[[-83.43300018093296,33.95819974962269],[-83.4360305109239,33.957841557635135],[-83.43881955510639,33.95679550238726],[-83.4411452563581,33.955144873079064],[-83.44282247734832,33.953021090331035],[-83.44371774105568,33.950593235572825],[-83.44375984623794,33.948054583322275],[-83.44294551577235,33.945607211144065],[-83.44133963428118,33.943445914015676],[-83.4390700633777,33.941742703595466],[-83.4363174534556,33.94063312470511],[-83.4333008662494,33.94020547554766],[-83.43026035187758,33.94049378674255],[-83.42743786275742,33.94147511568615],[-83.4250580168148,33.94307137061001],[-83.42331023418535,33.94515551981905],[-83.4223336642454,33.947561693994736],[-83.42220610125676,33.950098380356856],[-83.42293777344914,33.952563661247964],[-83.4244705056944,33.95476128597083],[-83.42668232964982,33.95651629681542],[-83.4293971808355,33.95768896405036],[-83.43239891438702,33.958185918045366],[-83.43300018093296,33.95819974962269]]]}"
0000000000000000000e,ahga,0.7088550905439448,FIRE,15,"{""type"":""Polygon"",""coordinates"":[[[-83.4156899506435,33.97175541682517],[-83.41872076361717,33.97139722481864],[-83.42151025228902,33.9703511695198],[-83.42383632412238,33.968700540144546],[-83.42551381228053,33.96657675733429],[-83.4264092184955,33.964148902538106],[-83.42645133022279,33.96161025028569],[-83.42563686986861,33.9591628781423],[-83.42403073243719,33.95700158107454],[-83.42176079993702,33.95529837072186],[-83.41900775153992,33.95418879188486],[-83.41599068385219,33.95376114274995],[-83.41294968519155,33.95404945392953],[-83.4101267464761,33.955030782824736],[-83.40774652138448,33.956627037682225],[-83.40599846022215,33.95871118682763],[-83.40502173455398,33.96111736096227],[-83.4048941510775,33.96365404731874],[-83.40562593970297,33.966119328241355],[-83.40715891607842,33.96831695302307],[-83.40937109245326,33.970071963935474],[-83.41208637629278,33.971244631226035],[-83.41508858826471,33.971741585247095],[-83.4156899506435,33.97175541682517]]]}"
0000000000000000000f,ahga,0.8466207266181831,HALP,16,"{""type"":""Polygon"",""coordinates"":[[[-83.38429342012618,33.96023309970307],[-83.38732382254389,33.95987490771266],[-83.3901129333808,33.95882885245713],[-83.39243869020395,33.95717822313889],[-83.39411595125793,33.95505444038152],[-83.39501123633536,33.952626585617615],[-83.39505334249908,33.95008793336679],[-83.39423899255576,33.94764056119381],[-83.39263307268448,33.945479264074514],[-83.39036344755694,33.94377605366443],[-83.38761077188231,33.942666474782065],[-83.3845941126244,33.942238825627996],[-83.38155352562994,33.942527136820594],[-83.37873096908969,33.943508465756935],[-83.37635106629092,33.945104720670834],[-83.37460324189342,33.94718886987034],[-83.3736266486009,33.94959504403987],[-83.37349908253995,33.95213173040114],[-83.3742307721923,33.95459701129697],[-83.37576354104668,33.95679463602867],[-83.37797541784998,33.958549646883434],[-83.38069033391524,33.95972231412671],[-83.38369213920939,33.96021926812563],[-83.38429342012618,33.96023309970307]]]}"
00000000000000000010,ahga,0.44402160419993203,LDFN,17,"{""type"":""Polygon"",""coordinates"":[[[-83.26519974919074,33.94285152379674],[-83.26822953272129,33.94249333183064],[-83.27101807399589,33.94144727664046],[-83.273343355961,33.93979664740817],[-83.27502027466983,33.93767286473057],[-83.27591537714007,33.93524501001534],[-83.27595747491706,33.932706357766904],[-83.27514329141113,33.930258985549294],[-83.27353769949804,33.92809768835228],[-83.2712685377153,33.926394477855624],[-83.26851642389626,33.925284898904884],[-83.2655003803205,33.92485724972192],[-83.2624604138868,33.92514556093414],[-83.25963843345153,33.92612688993251],[-83.25725901648885,33.927723144931484],[-83.25551154899941,33.92980729421255],[-83.25453515525479,33.9322134684347],[-83.25440761544668,33.934750154803226],[-83.25513915590335,33.93721543565866],[-83.2566716119328,33.93941306031492],[-83.2588830371509,33.94116807108276],[-83.26159739881972,33.94234073825475],[-83.2645985910728,33.942837692220266],[-83.26519974919074,33.94285152379674]]]}"
00000000000000000011,ahga,0.4362405564687024,LDFS,18,"{""type"":""Polygon"",""coordinates"":[[[-83.26440602920323,33.930504272979746],[-83.2674353734213,33.930146081030905],[-83.27022351039633,33.92910002588711],[-83.27254845528698,33.92744939671587],[-83.27422513098466,33.925325614094916],[-83.27512010383255,33.922897759414255],[-83.27516219565629,33.92035910716752],[-83.2743481302947,33.91791173491821],[-83.2727427711803,33.915750437666006],[-83.27047393829943,33.914047227107886],[-83.2677222233094,33.912937648108574],[-83.26470661677105,33.912509998905094],[-83.26166709083778,33.91279831013126],[-83.25884551934635,33.91377963917367],[-83.2564664472508,33.91537589423304],[-83.2547192331099,33.91746004357204],[-83.25374298101288,33.91986621783157],[-83.25361545984016,33.92240290420522],[-83.25434689439138,33.92486818503198],[-83.25587912836437,33.92706580963468],[-83.25809023302808,33.92882082034079],[-83.26080420116268,33.92999348746216],[-83.26380495825312,33.93049044140393],[-83.26440602920323,33.930504272979746]]]}"
00000000000000000012,ahga,0.6658219304774339,MBR2,19,"{""type"":""Polygon"",""coordinates"":[[[-83.450774157732,33.95566252112329],[-83.4538043973585,33.95530432913927],[-83.45659335837851,33.95425827390093],[-83.45891899029564,33.952607644605294],[-83.46059616129965,33.9504838618689],[-83.46149139834432,33.9480560071178],[-83.46153350230202,33.94551735486759],[-83.46071919613814,33.94306998268287],[-83.45911336253253,33.94090868554314],[-83.45684385928257,33.939205475110285],[-83.45409133139768,33.93809589620995],[-83.45107483408793,33.93766824704828],[-83.44803441032492,33.93795655824604],[-83.44521200532253,33.9389378871987],[-83.44283223031742,33.940534142134965],[-83.44108449980051,33.94261829135591],[-83.4401079589968,33.94502446553929],[-83.43998039984137,33.94756115190246],[-83.44071205024949,33.95002643278768],[-83.44224473681884,33.95222405749953],[-83.44445649483778,33.95397906833143],[-83.44717126507537,33.955151735555965],[-83.45017290911603,33.955648689546095],[-83.450774157732,33.95566252112329]]]}"
00000000000000000013,ahga,0.5775462729024126,MDHS,20,"{""type"":""Polygon"",""coordinates"":[[[-83.44873188944953,34.00209959949386],[-83.45176378474727,34.001741407444875],[-83.45455426948276,34.00069535203188],[-83.45688117175872,33.99904472250642],[-83.45855925861797,33.996920939556794],[-83.4594549841806,33.99449308467557],[-83.45949711057483,33.991954432418964],[-83.45868235915115,33.98950706035355],[-83.45707564817891,33.987345763421594],[-83.45480490537071,33.98564255322017],[-83.45205087438767,33.98453297450266],[-83.44903272998079,33.98410532541823],[-83.44599064606923,33.9843936365635],[-83.44316669984813,33.985374965350346],[-83.4407856251152,33.986971220059196],[-83.43903693978388,33.989055369062086],[-83.43805986514177,33.991461543104776],[-83.43793223575375,33.993998229448586],[-83.43866428529611,33.996463510441785],[-83.44019780874699,33.99866113535528],[-83.44241077486438,34.00041614641957],[-83.44512702824511,34.00158881383469],[-83.44813031231733,34.00208576791411],[-83.44873188944953,34.00209959949386]]]}"
