unique_id,city,site,lat,lon
286,bege,1370,52.621099998885775,13.293050000025628
287,bege,1371,52.6129989988858,13.309173300025371
288,bege,1372,52.60146759888581,13.293717600025587
289,bege,1374,52.57377229888582,13.304394100025396
290,bege,1376,52.53407999888587,13.306860100025325
291,bege,1378,52.488679998885935,13.310490000025212
292,bege,1379,52.41798069888612,13.312271100025105
293,bege,1380,52.41832659888609,13.317301600025026
294,bege,1382,52.60715999888581,13.31578000002527
295,bege,1384,52.600640698885776,13.329884800025052
296,bege,1387,52.42820999888611,13.339170000024719
297,bege,1390,52.40901999888614,13.330450100024816
298,bege,1394,52.468679998885975,13.348940000024617
299,bege,1395,52.448839798886084,13.368617200024303
300,bege,1396,52.46084529888605,13.35562160002451
301,bege,1397,52.434680598886104,13.362663900024367
302,bege,1399,52.422599998886106,13.353820000024484
303,bege,1400,52.41712999888607,13.372160000024207
304,bege,1402,52.5902523988858,13.380588500024274
305,bege,1404,52.58067859888577,13.38522880002419
306,bege,1409,52.45031999888601,13.387330000024027
307,bege,1410,52.44933559888599,13.405566700023755
308,bege,1412,52.411357798886094,13.406955300023682
309,bege,1413,52.615694898885714,13.416154700023766
310,bege,1414,52.621525298885736,13.39941760002403
311,bege,1417,52.58916669888577,13.41186990002381
312,bege,1421,52.41987999888612,13.431720000023319
313,bege,1422,52.42593539888603,13.418320200023542
314,bege,1423,52.57860429888583,13.4451315000233
315,bege,1424,52.53961999888578,13.456780000023082
316,bege,1429,52.61682239888567,13.46510140002303
317,bege,1432,52.51848199888588,13.486601500022616
318,bege,1433,52.518540698885836,13.486597700022614
319,bege,1438,52.45698289888598,13.477139200022691
320,bege,1442,52.41340999888604,13.4866300000225
321,bege,1443,52.64722209888561,13.507465800022427
322,bege,1444,52.6485508988856,13.503794900022491
323,bege,1445,52.638795298885675,13.493205100022642
324,bege,1451,52.44500999888601,13.499190000022347
325,bege,1452,52.44505839888598,13.502182700022308
326,bege,1453,52.42183879888606,13.502385200022275
327,bege,1456,52.52149139888582,13.549379900021679
328,bege,1457,52.521437498885874,13.548019400021703
329,bege,1458,52.514981298885814,13.526094100022021
330,bege,1460,52.49465999888585,13.549329900021648
331,bege,1461,52.47594999888596,13.532020000021882
332,bege,1462,52.478304198885915,13.547040300021669
333,bege,1464,52.45037999888593,13.543450000021691
334,bege,1465,52.422659998885976,13.551960000021543
335,bege,1466,52.417489998886,13.551460000021553
336,bege,1467,52.50310999888586,13.571330000021335
337,bege,1469,52.48521149888589,13.580362500021183
338,bege,1470,52.49515099888589,13.558178200021528
339,bege,1471,52.48245139888592,13.573651000021284
340,bege,1475,52.41167999888605,13.557470000021448
341,bege,1478,52.50981709888584,13.6004669000209
342,bege,1480,52.48009729888589,13.592196700020999
343,bege,1481,52.43832999888596,13.587280000021039
344,bege,1482,52.436228898886,13.59373640002093
345,bege,1483,52.41740739888598,13.59141290002095
346,bege,1485,52.49478099888586,13.614420300020681
347,bege,1486,52.498044498885896,13.617622400020641
348,bege,1488,52.4806999988859,13.612740000020699
349,bege,1491,52.44756089888595,13.636668300020304
350,bege,1492,52.43294999888595,13.685900000019563
351,bege,1493,52.439914498885976,13.682997500019612
352,bege,1496,52.45831999888611,13.108220000028194
353,bege,1497,52.596689998885914,13.119410000028195
354,bege,1498,52.52310999888597,13.1334001000279
355,bege,1501,52.426819898886194,13.15653510002743
356,bege,1502,52.625261798885816,13.227839300026613
357,bege,1504,52.66657459888571,13.294354300025658
358,bege,1505,52.40784999888609,13.3320600000248
359,bege,1508,52.53185269888585,13.394466000024003
360,bege,1511,52.57767749888576,13.508975800022338
361,bege,1513,52.55543999888579,13.523470100022097
362,bege,1514,52.57121999888575,13.555089900021645
363,bege,1516,52.34799999888614,13.629860000020313
364,bege,1519,52.47625319888586,13.714226200019182
365,bege,1522,52.426579998885906,13.732440000018856
