city,site,lat,lon,start,end,date,sp,ndets
frge,1,48.039208499156715,7.849525673343904,2022-06-28,2022-07-27,2022-07-21,stone_marten,1
frge,1,48.039208499156715,7.849525673343904,2022-06-28,2022-07-27,2022-07-26,european_red_squirrel,1
frge,1,48.039208499156715,7.849525673343904,2022-06-28,2022-07-27,2022-07-26,roe_deer,1
frge,1,48.039208499156715,7.849525673343904,2023-06-27,2023-07-26,2023-07-11,wild_boar,1
frge,1,48.039208499156715,7.849525673343904,2024-06-27,2024-07-30,2024-06-29,roe_deer,1
frge,1,48.039208499156715,7.849525673343904,2024-06-27,2024-07-30,2024-06-30,roe_deer,2
frge,1,48.039208499156715,7.849525673343904,2024-06-27,2024-07-30,2024-07-01,roe_deer,3
frge,1,48.039208499156715,7.849525673343904,2024-06-27,2024-07-30,2024-07-02,red_fox,1
frge,1,48.039208499156715,7.849525673343904,2024-06-27,2024-07-30,2024-07-03,roe_deer,4
frge,1,48.039208499156715,7.849525673343904,2024-06-27,2024-07-30,2024-07-04,roe_deer,2
frge,1,48.039208499156715,7.849525673343904,2024-06-27,2024-07-30,2024-07-05,roe_deer,2
frge,1,48.039208499156715,7.849525673343904,2024-06-27,2024-07-30,2024-07-07,red_fox,1
frge,1,48.039208499156715,7.849525673343904,2024-06-27,2024-07-30,2024-07-07,roe_deer,1
